,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,13.633,160.152,13.0,513.096,1855.634,70.982,0.0,REFPROP::R1336MZZZ
32,13.633,70.0,13.0,287.165,1280.388,7.931,0.0,REFPROP::R1336MZZZ
33,13.633,27.09,13.0,232.83,1111.372,1.453,0.0,REFPROP::R1336MZZZ
34,13.633,9.99,0.393,232.83,1116.663,-0.045,0.12,REFPROP::R1336MZZZ
35,13.633,9.99,0.393,386.947,1660.978,-0.05,1.0,REFPROP::R1336MZZZ
36,13.633,70.0,0.393,439.815,1829.994,4.961,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,208883.131,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,208883.131,9.99,1.013,409.332,3828.566,0.0,0.0,REFPROP::air
